x1,y
0,1
0.1,0.9278607677
0.2,0.7706217838
0.3,0.5474509758
0.4,0.2828784494
0.5,0.004192153799
0.6,-0.2613028346
0.7,-0.4888929974
0.8,-0.6586903188
0.9,-0.7572964051
1,-0.7787656348
1.1,-0.7248095358
1.2,-0.604259878
1.3,-0.4318779109
1.4,-0.2266553639
1.5,-0.00979426329
1.6,0.1974258261
1.7,0.3756839485
1.8,0.5093675388
1.9,0.587882685
2,0.6064211681
2.1,0.5661375129
2.2,0.4737479159
2.3,0.3406175493
2.4,0.1814483642
2.5,0.01271220153
2.6,-0.1490087169
2.7,-0.288610905
2.8,-0.3938399958
2.9,-0.4563221766
3,-0.4721746976
3.1,-0.4421576733
3.2,-0.3713750505
3.3,-0.2685752898
3.4,-0.1451380736
3.5,-0.01385913041
3.6,0.1123409195
3.7,0.2216566762
3.8,0.3044710793
3.9,0.3541671862
4,0.367613825
4.1,0.345294643
4.2,0.2910856179
4.3,0.2117194252
4.4,0.116003092
4.5,0.013875689
4.6,-0.08459613955
4.7,-0.1701858416
4.8,-0.2353471942
4.9,-0.2748530763
5,-0.2861815967
5.1,-0.2696250184
5.2,-0.2281245976
5.3,-0.1668604774
5.4,-0.09264775163
5.5,-0.013205832
5.6,0.06362292064
5.7,0.1306281999
5.8,0.1818895696
5.9,0.2132790038
6,0.2227677299
6.1,0.2105176096
6.2,0.1787588423
6.3,0.1314760886
6.4,0.07394233829
6.5,0.01215246547
6.6,-0.04778453602
6.7,-0.1002345753
6.8,-0.1405534032
6.9,-0.1654818999
7,-0.1733897925
7.1,-0.1643519195
7.2,-0.1400579238
7.3,-0.1035721237
7.4,-0.05897380211
7.5,-0.01091810298
7.6,0.03583665702
7.7,0.076888477
7.8,0.10859472
7.9,0.1283829787
8,0.1349445654
8.1,0.1282978691
8.2,0.1097218774
8.3,0.08157254258
8.4,0.04700524565
8.5,0.009634443894
8.6,-0.02683392775
8.7,-0.05896086413
8.8,-0.08388972365
8.9,-0.09959065792
9,-0.1050141551
9.1,-0.1001434649
9.2,-0.08594583007
9.3,-0.06423211728
9.4,-0.03744272083
9.5,-0.008383783427
9.6,0.02005865033
9.7,0.04519817088
9.8,0.06479484064
9.9,0.07724735109
10,0.08171481398
10.1,0.07815998675
10.2,0.06731363513
10.3,0.05056728311
10.4,0.02980808586
10.5,0.007214419234
10.6,-0.01496637522
10.7,-0.03463599265
10.8,-0.05003830098
10.9,-0.05991037736
11,-0.06357907321
11.1,-0.06099654158
11.2,-0.05271431056
11.3,-0.03980137619
11.4,-0.02371686764
11.5,-0.006151661855
11.6,0.01114441097
11.7,0.0265325652
11.8,0.038636161
11.9,0.04645939929
12,0.04946385458
12.1,0.04759759251
12.2,0.04127640353
12.3,0.03132128041
12.4,0.01886024498
12.5,0.005205639242
12.6,-0.008280203135
12.7,-0.02031750849
12.8,-0.02982726519
12.9,-0.03602448645
13,-0.038478843
13.1,-0.03713846609
13.2,-0.03231644364
13.3,-0.02464311867
13.4,-0.01499041394
13.5,-0.004376774374
13.6,0.006137248362
13.7,0.01555234052
13.8,0.023022882
13.9,0.02793021402
14,0.02993065684
14.1,0.02897492305
14.2,0.02529846722
14.3,0.01938511104
14.4,0.01190872162
14.5,0.003659583143
14.6,-0.004536759163
14.7,-0.01190006485
14.8,-0.0177677078
14.9,-0.02165222616
15,-0.02327933591
15.1,-0.02260373035
15.2,-0.01980223988
15.3,-0.01524610959
15.4,-0.009456060646
15.5,-0.003045267331
15.6,0.00334371496
15.7,0.00910175175
15.8,0.01370967667
15.9,0.01678348817
16,0.01810443258
16.1,0.01763183763
16.2,0.01549831181
16.3,0.01198862823
16.4,0.007505105363
16.5,0.002523449713
16.6,-0.002456257079
16.7,-0.006958508777
16.8,-0.01057659058
16.9,-0.01300806862
17,-0.01407858889
17.1,-0.01375228297
17.2,-0.01212843965
17.3,-0.009425430445
17.4,-0.005954045583
17.5,-0.002083303833
17.6,0.001797631566
17.7,0.005317603516
17.8,0.00815803132
17.9,0.01008077348
18,0.01094694899
18.1,0.01072536064
18.2,0.009490222724
18.3,0.007408932055
18.4,0.004721535668
18.5,0.001714261244
18.6,-0.001310072149
18.7,-0.004061784836
18.8,-0.006291362415
18.9,-0.007811327469
19,-0.008511119554
19.1,-0.008363903313
19.2,-0.007425048143
19.3,-0.005822830804
19.4,-0.003742628248
19.5,-0.001406427843
19.6,0.0009501596772
19.7,0.003101067323
19.8,0.004850897571
19.9,0.006052088603
20,0.00661667465
